		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100010000    7    8   10   12    9    9    8    9 20.869574 0.007502 FAILURE  75
100100000    5    5    7    7    6   10    7    5 41.102361 0.000002 FAILURE  76
100101000   17   13   18   16   17   14   17   17  2.154435 0.975907 SUCCESS  77
100110000   10   13    7    6    8   13   11   10 18.398785 0.018428 SUCCESS  78
100111000   36   27   30   30   37   23   31   28 138.676188 0.000000 FAILURE  79
101000000    9   10   15   10   10   10    9   11 12.894316 0.115538 SUCCESS  80
101000100    9    4    8    7    8    4    5    3 47.024283 0.000000 FAILURE  81
101001000   10   15   14   12   11   11   13   11  5.955153 0.652256 SUCCESS  82
101001100    8   15   12   12   10   13   11   10  9.391204 0.310376 SUCCESS  83
101010000   13   20   14   13   12   13   11   11  5.422427 0.711618 SUCCESS  84
101010100    8    8    9    6    4    4    7    8 39.175608 0.000005 FAILURE  85
101011000   27   21   22   22   29   26   25   20 49.777864 0.000000 FAILURE  86
101011100   14   15   14   12   15   16   16    8  4.255980 0.833321 SUCCESS  87
101100000   26   23   26   25   29   29   26   29 77.051619 0.000000 FAILURE  88
101100100   23   19   20   20   21   17   25   24 24.292967 0.002046 FAILURE  89
101101000   24   25   24   22   25   22   25   29 52.267506 0.000000 FAILURE  90
101101100   10   13   15   15   12   15   12   14  3.283177 0.915351 SUCCESS  91
101110000   11   10    7    9    6   17   10   12 17.854748 0.022342 SUCCESS  92
101110100   16   15   16   15   14   10   19   15  3.033782 0.932220 SUCCESS  93
101111000   24   25   23   26   25   24   24   24 49.025100 0.000000 FAILURE  94
101111100   13   13    9   15   14   13   14   11  4.516687 0.807761 SUCCESS  95
110000000   25   16   21   18   19   17   17   20 13.507031 0.095554 SUCCESS  96
110000010   15   14   13   16   16   15   14   12  1.162780 0.996996 SUCCESS  97
110000100   10   12   15   14   13   16   12   12  3.968879 0.859920 SUCCESS  98
110001000   17   15   18   18   17   16   18   16  2.579431 0.957924 SUCCESS  99
110001010   13   11   12   11   14   10   10   12  7.188662 0.516421 SUCCESS 100
110010000   10    9   11   11   13   14   13   10  8.701731 0.368079 SUCCESS 101
110010010   20   17   17   23   17   19   23   19 13.648696 0.091394 SUCCESS 102
110010100   18   20   17   18   19   18   16   20  6.805951 0.557707 SUCCESS 103
110011000   11   19   21   12   15   19   12   11  8.135879 0.420311 SUCCESS 104
110011010   16   13   17   13   15   11   17   14  2.336769 0.968909 SUCCESS 105
110100000   11   10   15   10   11   11    8   11 11.176291 0.191909 SUCCESS 106
110100010   13   11   12   11   12    7   11   16  9.257080 0.321075 SUCCESS 107
110100100   10   10   14    7    9    9   11   12 14.545280 0.068614 SUCCESS 108
110101000   18   18   15   14   12   15   12   12  3.164136 0.923639 SUCCESS 109
110101010    8   12   11    8   10   10    9   12 14.955193 0.060023 SUCCESS 110
110101100   23   21   23   22   26   22   27   17 36.726095 0.000013 FAILURE 111
110110000   15   14   18   16   16   16   16   18  1.602857 0.990865 SUCCESS 112
110110010   19   23   18   21   20   19   24   18 17.729781 0.023346 SUCCESS 113
110110100    9   11   10    7    9   10    9   15 16.334138 0.037840 SUCCESS 114
110111000   11    9    9   12    6    8    9   13 18.327952 0.018898 SUCCESS 115
110111010    8   10    3    8    8    7   10    9 30.298380 0.000187 FAILURE 116
110111100   21   29   25   28   23   25   26   25 61.241961 0.000000 FAILURE 117
111000000   21   15   15   14   16   12   12   16  3.931982 0.863208 SUCCESS 118
111000010   38   43   44   48   43   41   39   38 400.849189 0.000000 FAILURE 119
